DATE,SPASTT01USM657N
2018-02-01,-3.82640657755972
2018-03-01,-1.17783903728688
2018-04-01,-0.576228759248211
2018-05-01,0.768476584718694
2018-06-01,0.250563669297125
2018-07-01,0.783847962240102
2018-08-01,1.4657083329742
2018-09-01,0.807753818876269
2018-10-01,-3.9609808113779
2018-11-01,-1.60883527345414
2018-12-01,-5.86356900347944
2019-01-01,2.21683891619295
2019-02-01,5.44886241569743
2019-03-01,0.903868586312146
2019-04-01,2.32902299646931
2019-05-01,-1.97903504244602
2019-06-01,1.2904463395515
2019-07-01,2.70988326872509
2019-08-01,-4.16916750955505
2019-09-01,2.93773912382496
2019-10-01,-0.33506506692839
2019-11-01,3.73800831989133
2019-12-01,2.09177285114531
2020-01-01,1.85565342480429
2020-02-01,-1.68948624994009
2020-03-01,-21.9401363376026
