DATE,USALORSGPNOSTSAM
2018-12-01,100.299233706638
2019-01-01,100.287721372676
2019-02-01,100.295842399705
2019-03-01,100.323689791685
2019-04-01,100.368944840042
2019-05-01,100.427889661879
2019-06-01,100.495200266308
2019-07-01,100.562787959643
2019-08-01,100.622613916017
2019-09-01,100.669516714288
2019-10-01,100.704624642901
2019-11-01,100.730693370241
2019-12-01,100.748325401332
2020-01-01,100.752883576149
2020-02-01,100.735939479634
2020-03-01,96.1186419077283
2020-04-01,93.1524984819753
2020-05-01,91.6337770277386
2020-06-01,93.5413665603573
2020-07-01,95.4300025971101
2020-08-01,97.2973194133209
2020-09-01,97.4332919860023
2020-10-01,97.572373545001
2020-11-01,97.7262752782543
2020-12-01,98.0951735684602
2021-01-01,98.4825763610782
2021-02-01,98.8477263942433
2021-03-01,99.0866979655826
